"determinand","common_name","pargroup","biota_group","sediment_group","water_group","biota_assess","sediment_assess","water_assess","biota_unit","sediment_unit","water_unit","biota_auxiliary","sediment_auxiliary","water_auxiliary","biota_sd_constant","biota_sd_variable","sediment_sd_constant","sediment_sd_variable","water_sd_constant","water_sd_variable","distribution","good_status"
"LI","Lithium","I-MET","Metals","Auxiliary","Metals",FALSE,FALSE,FALSE,"ug/kg","mg/kg","ug/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,,,0.033333,0.148842,,,"lognormal","low"
"MN","Manganese","I-MET","Metals","Metals","Metals",FALSE,FALSE,FALSE,"ug/kg","mg/kg","ug/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,,,,,,,"lognormal","low"
"NI","Nickel","I-MET","Metals","Metals","Metals",FALSE,FALSE,FALSE,"ug/kg","mg/kg","ug/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,3.333333,0.146991,0.15,0.084189,0.012167,0.061064,"lognormal","low"
"PB","Lead","I-MET","Metals","Metals","Metals",FALSE,FALSE,FALSE,"ug/kg","mg/kg","ug/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,2.333333,0.10368,0.283333,0.090517,0.0115,0.08951,"lognormal","low"
"SE","Selenium","I-MET","Metals","Metals","Metals",FALSE,FALSE,FALSE,"ug/kg","mg/kg","ug/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,2.984833,0.082638,,,,,"lognormal","low"
"SN","Tin","I-MET","Metals","Metals","Metals",FALSE,FALSE,FALSE,"ug/kg","mg/kg","ug/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,3.333333,0.25,,,,,"lognormal","low"
"SR","Strontium","I-MET","Metals","Metals","Metals",FALSE,FALSE,FALSE,"ug/kg","mg/kg","ug/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,,,,,,,"lognormal","low"
"V","Vanadium","I-MET","Metals","Metals","Metals",FALSE,FALSE,FALSE,"ug/kg","mg/kg","ug/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,,,,,,,"lognormal","low"
"ZN","Zinc","I-MET","Metals","Metals","Metals",FALSE,FALSE,FALSE,"ug/kg","mg/kg","ug/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%, LI",,50,0.073982,0.258333,0.084814,0.028667,0.082049,"lognormal","low"
"ACNE","Acenaphthene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.056667,0.253,0.4,0.186207,0.14445,0.15,"lognormal","low"
"ACNLE","Acenaphthylene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.101667,0.276779,0.333333,0.271315,0.116667,0.12925,"lognormal","low"
"ANT","Anthracene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.066667,0.22,0.333333,0.170818,0.14445,0.1085,"lognormal","low"
"BAA","Benzo[a]anthracene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.093333,0.188502,0.333333,0.13,0.14445,0.118056,"lognormal","low"
"BAP","Benzo[a]pyrene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.053333,0.211934,0.333333,0.15,0.066667,0.14,"lognormal","low"
"BBA","Benz[b]anthtacene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"BBF","Benzo[b]fluoranthene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"BBJF","Benzo[b,j]fluoranthene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"BBJKF","Benzo[b,j,k]fluoranthene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"BBKF","Benzo[b,k]fluoranthene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.14,0.135946,0.666667,0.15,0.455567,0.27,"lognormal","low"
"BEP","Benzo[e]pyrene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.166667,0.101406,0.466667,0.079715,0.033667,0.127929,"lognormal","low"
"BGHIP","Benzo[g,h,i]perylene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.056667,0.21,0.333333,0.15,0.055567,0.115385,"lognormal","low"
"BJKF","Benzo[j,k]fluoranthene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"BKF","Benzo[k]fluoranthene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CHR","Chrysene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.082917,0.13996,0.666667,0.122391,0.127783,0.136964,"lognormal","low"
"CHRTR","Chrysene / Triphenylene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"DBAHA","Dibenz[ah]anthracene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.045,0.230625,0.333333,0.253296,0.161117,0.1125,"lognormal","low"
"DBT","Dibenzothiophene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.1,0.235417,0.166667,0.1,0.00011,0.192,"lognormal","low"
"DBTC1","C1 Dibenzothiophene","O-PAH","PAH_alkylated","PAH_alkylated","PAH_alkylated",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.25,0.104937,0.066667,0.093867,,,"lognormal","low"
"DBTC2","C2 Dibenzothiophene","O-PAH","PAH_alkylated","PAH_alkylated","PAH_alkylated",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.338333,0.107267,0.128333,0.128289,,,"lognormal","low"
"DBTC3","C3 Dibenzothiophenes","O-PAH","PAH_alkylated","PAH_alkylated","PAH_alkylated",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.485,0.107088,0.083333,0.091049,,,"lognormal","low"
"FLE","Fluorene ","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.08,0.21,0.433333,0.187868,0.127783,0.134182,"lognormal","low"
"FLU","Fluoranthene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.166667,0.12296,0.333333,0.087395,0.088883,0.128833,"lognormal","low"
"ICDP","Indeno[123-cd]pyrene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.063333,0.260325,0.333333,0.114842,0.1,0.15,"lognormal","low"
"NAP","Naphthalene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.166667,0.242032,0.486667,0.140506,0.161117,0.175682,"lognormal","low"
"NAP1M","1-Methylnapthalene","O-PAH","PAH_alkylated","PAH_alkylated","PAH_alkylated",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"NAP2M","2-Methylnaphthalene","O-PAH","PAH_alkylated","PAH_alkylated","PAH_alkylated",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"NAPC1","C1 Naphthalenes","O-PAH","PAH_alkylated","PAH_alkylated","PAH_alkylated",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.366667,0.21875,0.446667,0.103584,,,"lognormal","low"
"NAPC2","C2 Naphthalenes","O-PAH","PAH_alkylated","PAH_alkylated","PAH_alkylated",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.166667,0.120714,0.52,0.072425,,,"lognormal","low"
"NAPC3","C3 Naphthalenes","O-PAH","PAH_alkylated","PAH_alkylated","PAH_alkylated",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.186667,0.134487,0.083333,0.089862,,,"lognormal","low"
"NAPC4","C4 Naphthalenes","O-PAH","PAH_alkylated","PAH_alkylated","PAH_alkylated",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.056667,0.117742,0.033333,0.10842,,,"lognormal","low"
"PA","Phenanthrene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.132083,0.14679,1,0.118578,0.222233,0.1095,"lognormal","low"
"PABC","Benzo[c]phenanthrene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"PAC1","C1 Phenanthrenes","O-PAH","PAH_alkylated","PAH_alkylated","PAH_alkylated",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.166667,0.182622,0.38,0.066608,,,"lognormal","low"
"PAC2","C2 Phenanthrenes","O-PAH","PAH_alkylated","PAH_alkylated","PAH_alkylated",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.066667,0.153048,0.111667,0.07926,,,"lognormal","low"
"PAC3","C3 Phenanthrenes","O-PAH","PAH_alkylated","PAH_alkylated","PAH_alkylated",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.166667,0.182622,0.385,0.083324,,,"lognormal","low"
"PAM1","1-methylphenanthrene","O-PAH","PAH_alkylated","PAH_alkylated","PAH_alkylated",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"PER","Perylene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.15,0.22255,0.138333,0.1,0.017217,0.125,"lognormal","low"
"PYR","Pyrene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.166667,0.1275,0.5,0.090558,0.14445,0.099621,"lognormal","low"
"SNAPC","Sum C1-3 Naphthalenes","O-PAH","PAH_alkylated","PAH_alkylated","PAH_alkylated",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"SPAC","Sum C1-3 Phenanthrenes","O-PAH","PAH_alkylated","PAH_alkylated","PAH_alkylated",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"SDBTC","Sum C1-3 Dibenzothiophenes","O-PAH","PAH_alkylated","PAH_alkylated","PAH_alkylated",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"TRI","Triphenylene","O-PAH","PAH_parent","PAH_parent","PAH_parent",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB28",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.03,0.17,0.022667,0.169108,0,0.15,"lognormal","low"
"CB31",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB44",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB49",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB52",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.033333,0.168269,0.033333,0.225862,0,0.1495,"lognormal","low"
"CB70",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB74",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB77",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB81",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB97",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB99",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB101",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.033333,0.15,0.033333,0.151854,0,0.175,"lognormal","low"
"CB105",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.00541,0.175,0.016333,0.180065,,,"lognormal","low"
"CB110",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB118",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.033333,0.151458,0.03,0.165,0,0.2,"lognormal","low"
"CB126",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,3e-05,0.164144,,,,,"lognormal","low"
"CB128",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB132",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB137",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB138",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.033333,0.15,0.033333,0.16594,0,0.1875,"lognormal","low"
"CB138+163",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB149",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB153",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",TRUE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.033333,0.139136,0.033333,0.143928,0,0.1875,"lognormal","low"
"CB156",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.003333,0.153069,0.003333,0.174141,,,"lognormal","low"
"CB156+172",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB157",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB158",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB167",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB169",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,1e-04,0.14,,,,,"lognormal","low"
"CB170",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB180",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.033333,0.15,0.03,0.174141,0,0.2,"lognormal","low"
"CB183",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB187",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB189",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"CB194",,"OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,,,,,,,"lognormal","low"
"SCB7","Sum of ICES 7 CBs","OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.233333,0.128272,,,,,"lognormal","low"
"SCB6","Sum of ICES 6 CBs","OC-CB","Chlorobiphenyls","Chlorobiphenyls","Chlorobiphenyls",FALSE,FALSE,FALSE,"ug/kg","ug/kg","ng/l","LNMEA, LIPIDWT%, DRYWT%","AL, CORG, DRYWT%",,0.2,0.12801,,,,,"lognormal","low"
